Account Number,Customer Name,State,Branch Code,Branch Manager,Balance,Has Loan,Loan Amount,Interest,EMI Status
10001,Customer_10001,Maharashtra,AEIB-MH,Rajesh Sharma,48567,False,0,0.0,N/A
10002,Customer_10002,Maharashtra,AEIB-MH,Rajesh Sharma,181963,False,0,0.0,N/A
10003,Customer_10003,Maharashtra,AEIB-MH,Rajesh Sharma,102639,True,136293,10903.44,Paying
10004,Customer_10004,Maharashtra,AEIB-MH,Rajesh Sharma,117420,True,360744,28859.52,Paying
10005,Customer_10005,Maharashtra,AEIB-MH,Rajesh Sharma,57620,True,475446,38035.68,Not Paying
10006,Customer_10006,Maharashtra,AEIB-MH,Rajesh Sharma,113631,True,413345,33067.6,Not Paying
10007,Customer_10007,Maharashtra,AEIB-MH,Rajesh Sharma,87457,True,450137,36010.96,Paying
10008,Customer_10008,Maharashtra,AEIB-MH,Rajesh Sharma,72699,True,57877,4630.16,Paying
10009,Customer_10009,Maharashtra,AEIB-MH,Rajesh Sharma,137943,False,0,0.0,N/A
10010,Customer_10010,Maharashtra,AEIB-MH,Rajesh Sharma,184026,True,81921,6553.68,Not Paying
10011,Customer_10011,Maharashtra,AEIB-MH,Rajesh Sharma,136869,False,0,0.0,N/A
10012,Customer_10012,Maharashtra,AEIB-MH,Rajesh Sharma,127144,True,134665,10773.2,Not Paying
10013,Customer_10013,Maharashtra,AEIB-MH,Rajesh Sharma,46504,True,435175,34814.0,Not Paying
10014,Customer_10014,Maharashtra,AEIB-MH,Rajesh Sharma,16723,False,0,0.0,N/A
10015,Customer_10015,Maharashtra,AEIB-MH,Rajesh Sharma,63146,True,240372,19229.760000000002,Not Paying
10016,Customer_10016,Maharashtra,AEIB-MH,Rajesh Sharma,76557,False,0,0.0,N/A
10017,Customer_10017,Maharashtra,AEIB-MH,Rajesh Sharma,66713,False,0,0.0,N/A
10018,Customer_10018,Maharashtra,AEIB-MH,Rajesh Sharma,51522,False,0,0.0,N/A
10019,Customer_10019,Maharashtra,AEIB-MH,Rajesh Sharma,25737,False,0,0.0,N/A
10020,Customer_10020,Maharashtra,AEIB-MH,Rajesh Sharma,197425,False,0,0.0,N/A
10021,Customer_10021,Maharashtra,AEIB-MH,Rajesh Sharma,17134,False,0,0.0,N/A
10022,Customer_10022,Maharashtra,AEIB-MH,Rajesh Sharma,91107,False,0,0.0,N/A
10023,Customer_10023,Maharashtra,AEIB-MH,Rajesh Sharma,187883,True,77257,6180.56,Paying
10024,Customer_10024,Maharashtra,AEIB-MH,Rajesh Sharma,17372,False,0,0.0,N/A
10025,Customer_10025,Maharashtra,AEIB-MH,Rajesh Sharma,116366,True,112079,8966.32,Paying
10026,Customer_10026,Maharashtra,AEIB-MH,Rajesh Sharma,143084,True,316062,25284.96,Not Paying
10027,Customer_10027,Maharashtra,AEIB-MH,Rajesh Sharma,121372,True,196199,15695.92,Not Paying
10028,Customer_10028,Maharashtra,AEIB-MH,Rajesh Sharma,106261,False,0,0.0,N/A
10029,Customer_10029,Maharashtra,AEIB-MH,Rajesh Sharma,13752,True,261113,20889.04,Not Paying
10030,Customer_10030,Maharashtra,AEIB-MH,Rajesh Sharma,55624,False,0,0.0,N/A
10031,Customer_10031,Maharashtra,AEIB-MH,Rajesh Sharma,98790,True,283138,22651.04,Paying
10032,Customer_10032,Maharashtra,AEIB-MH,Rajesh Sharma,129834,False,0,0.0,N/A
10033,Customer_10033,Maharashtra,AEIB-MH,Rajesh Sharma,89355,True,378653,30292.24,Paying
10034,Customer_10034,Maharashtra,AEIB-MH,Rajesh Sharma,29777,True,309978,24798.24,Paying
10035,Customer_10035,Maharashtra,AEIB-MH,Rajesh Sharma,148915,True,301579,24126.32,Paying
10036,Customer_10036,Maharashtra,AEIB-MH,Rajesh Sharma,11521,True,386803,30944.24,Paying
10037,Customer_10037,Maharashtra,AEIB-MH,Rajesh Sharma,113483,False,0,0.0,N/A
10038,Customer_10038,Maharashtra,AEIB-MH,Rajesh Sharma,56939,False,0,0.0,N/A
10039,Customer_10039,Maharashtra,AEIB-MH,Rajesh Sharma,159382,True,130577,10446.16,Paying
10040,Customer_10040,Maharashtra,AEIB-MH,Rajesh Sharma,159378,True,390840,31267.2,Not Paying
10041,Customer_10041,Maharashtra,AEIB-MH,Rajesh Sharma,103611,False,0,0.0,N/A
10042,Customer_10042,Maharashtra,AEIB-MH,Rajesh Sharma,75838,True,418915,33513.2,Paying
10043,Customer_10043,Gujarat,AEIB-GJ,Priya Mehta,116987,True,404792,32383.36,Not Paying
10044,Customer_10044,Gujarat,AEIB-GJ,Priya Mehta,84128,False,0,0.0,N/A
10045,Customer_10045,Gujarat,AEIB-GJ,Priya Mehta,13286,False,0,0.0,N/A
10046,Customer_10046,Gujarat,AEIB-GJ,Priya Mehta,135317,True,63640,5091.2,Not Paying
10047,Customer_10047,Gujarat,AEIB-GJ,Priya Mehta,181735,True,71752,5740.16,Paying
10048,Customer_10048,Gujarat,AEIB-GJ,Priya Mehta,64715,False,0,0.0,N/A
10049,Customer_10049,Gujarat,AEIB-GJ,Priya Mehta,189078,True,287507,23000.56,Not Paying
10050,Customer_10050,Gujarat,AEIB-GJ,Priya Mehta,59268,False,0,0.0,N/A
10051,Customer_10051,Gujarat,AEIB-GJ,Priya Mehta,73473,True,223584,17886.72,Paying
10052,Customer_10052,Gujarat,AEIB-GJ,Priya Mehta,97309,False,0,0.0,N/A
10053,Customer_10053,Gujarat,AEIB-GJ,Priya Mehta,112984,False,0,0.0,N/A
10054,Customer_10054,Gujarat,AEIB-GJ,Priya Mehta,188158,True,326051,26084.08,Not Paying
10055,Customer_10055,Gujarat,AEIB-GJ,Priya Mehta,146160,True,350539,28043.12,Not Paying
10056,Customer_10056,Gujarat,AEIB-GJ,Priya Mehta,125953,True,93295,7463.6,Not Paying
10057,Customer_10057,Gujarat,AEIB-GJ,Priya Mehta,121551,True,460191,36815.28,Not Paying
10058,Customer_10058,Gujarat,AEIB-GJ,Priya Mehta,151984,True,327259,26180.72,Paying
10059,Customer_10059,Gujarat,AEIB-GJ,Priya Mehta,84983,True,301009,24080.72,Not Paying
10060,Customer_10060,Gujarat,AEIB-GJ,Priya Mehta,16052,False,0,0.0,N/A
10061,Customer_10061,Gujarat,AEIB-GJ,Priya Mehta,62368,True,317247,25379.760000000002,Not Paying
10062,Customer_10062,Gujarat,AEIB-GJ,Priya Mehta,40050,True,193651,15492.08,Paying
10063,Customer_10063,Gujarat,AEIB-GJ,Priya Mehta,116614,False,0,0.0,N/A
10064,Customer_10064,Gujarat,AEIB-GJ,Priya Mehta,138847,True,401243,32099.440000000002,Paying
10065,Customer_10065,Gujarat,AEIB-GJ,Priya Mehta,76892,False,0,0.0,N/A
10066,Customer_10066,Gujarat,AEIB-GJ,Priya Mehta,33651,False,0,0.0,N/A
10067,Customer_10067,Gujarat,AEIB-GJ,Priya Mehta,103927,True,113003,9040.24,Not Paying
10068,Customer_10068,Gujarat,AEIB-GJ,Priya Mehta,170081,True,329726,26378.08,Paying
10069,Customer_10069,Gujarat,AEIB-GJ,Priya Mehta,89917,True,388467,31077.36,Not Paying
10070,Customer_10070,Gujarat,AEIB-GJ,Priya Mehta,65809,False,0,0.0,N/A
10071,Customer_10071,Gujarat,AEIB-GJ,Priya Mehta,139958,False,0,0.0,N/A
10072,Customer_10072,Gujarat,AEIB-GJ,Priya Mehta,80523,False,0,0.0,N/A
10073,Customer_10073,Gujarat,AEIB-GJ,Priya Mehta,131346,True,132119,10569.52,Not Paying
10074,Customer_10074,Gujarat,AEIB-GJ,Priya Mehta,141253,False,0,0.0,N/A
10075,Customer_10075,Gujarat,AEIB-GJ,Priya Mehta,178986,True,244792,19583.36,Not Paying
10076,Customer_10076,Gujarat,AEIB-GJ,Priya Mehta,125868,True,359538,28763.04,Not Paying
10077,Customer_10077,Gujarat,AEIB-GJ,Priya Mehta,5894,True,491424,39313.92,Paying
10078,Customer_10078,Gujarat,AEIB-GJ,Priya Mehta,37904,True,371745,29739.600000000002,Paying
10079,Customer_10079,Gujarat,AEIB-GJ,Priya Mehta,117931,False,0,0.0,N/A
10080,Customer_10080,Gujarat,AEIB-GJ,Priya Mehta,87088,False,0,0.0,N/A
10081,Customer_10081,Gujarat,AEIB-GJ,Priya Mehta,115768,False,0,0.0,N/A
10082,Customer_10082,Gujarat,AEIB-GJ,Priya Mehta,62191,False,0,0.0,N/A
10083,Customer_10083,Karnataka,AEIB-KA,Amit Verma,27302,False,0,0.0,N/A
10084,Customer_10084,Karnataka,AEIB-KA,Amit Verma,57513,True,169005,13520.4,Paying
10085,Customer_10085,Karnataka,AEIB-KA,Amit Verma,25989,True,206556,16524.48,Paying
10086,Customer_10086,Karnataka,AEIB-KA,Amit Verma,97925,True,61605,4928.400000000001,Not Paying
10087,Customer_10087,Karnataka,AEIB-KA,Amit Verma,131503,True,438510,35080.8,Not Paying
10088,Customer_10088,Karnataka,AEIB-KA,Amit Verma,126542,False,0,0.0,N/A
10089,Customer_10089,Karnataka,AEIB-KA,Amit Verma,112356,True,214273,17141.84,Not Paying
